type,word,pos
상담사명,봉익동,NNG
상담사명,돈의동,NNG
상담사명,장사동,NNG
상담사명,관수동,NNG
상담사명,종로3가,NNG
상담사명,인의동,NNG
상담사명,예지동,NNG
상담사명,원남동,NNG
상담사명,종로4가,NNG
상담사명,연지동,NNG
상담사명,효제동,NNG
상담사명,종로5가,NNG
상담사명,종로6가,NNG
상담사명,충신동,NNG
상담사명,창신동,NNG
상담사명,청운동,NNG
상담사명,신교동,NNG
상담사명,궁정동,NNG
상담사명,효자동,NNG
상담사명,창성동,NNG
상담사명,통인동,NNG
상담사명,누상동,NNG
상담사명,누하동,NNG
상담사명,옥인동,NNG
상담사명,구기동,NNG
상담사명,평창동,NNG
상담사명,혜화동,NNG
상담사명,명륜1가,NNG
상담사명,명륜2가,NNG
상담사명,명륜4가,NNG
상담사명,충무로4가,NNG
상담사명,충무로5가,NNG
상담사명,인현동2가,NNG
상담사명,예관동,NNG
상담사명,광희동1가,NNG
상담사명,광희동2가,NNG
상담사명,쌍림동,NNG
상담사명,을지로6가,NNG
상담사명,을지로7가,NNG
상담사명,오장동,NNG
상담사명,무교동,NNG
상담사명,다동,NNG
상담사명,태평로1가,NNG
상담사명,을지로1가,NNG
상담사명,을지로2가,NNG
상담사명,남대문로1가,NNG
상담사명,삼각동,NNG
상담사명,수하동,NNG
상담사명,장교동,NNG
상담사명,수표동,NNG
상담사명,남대문로2가,NNG
상담사명,회현동1가,NNG
상담사명,회현동2가,NNG
상담사명,회현동3가,NNG
상담사명,충무로1가,NNG
상담사명,충무로2가,NNG
상담사명,명동1가,NNG
상담사명,명동2가,NNG
상담사명,남산동1가,NNG
상담사명,남산동2가,NNG
상담사명,남산동3가,NNG
상담사명,저동1가,NNG
상담사명,예장동,NNG
상담사명,소공동,NNG
상담사명,북창동,NNG
상담사명,태평로2가,NNG
상담사명,남대문로3가,NNG
상담사명,남대문로4가,NNG
상담사명,봉래동1가,NNG
상담사명,서소문동,NNG
상담사명,정동,NNG
상담사명,순화동,NNG
상담사명,의주로1가,NNG
상담사명,충정로1가,NNG
상담사명,신당동,NNG
상담사명,흥인동,NNG
상담사명,무학동,NNG
상담사명,을지로4가,NNG
상담사명,을지로5가,NNG
상담사명,주교동,NNG
상담사명,방산동,NNG
상담사명,을지로3가,NNG
상담사명,입정동,NNG
상담사명,산림동,NNG
상담사명,초동,NNG
상담사명,인현동1가,NNG
상담사명,저동2가,NNG
상담사명,묵정동,NNG
상담사명,장충동1가,NNG
상담사명,장충동2가,NNG
상담사명,중림동,NNG
상담사명,의주로2가,NNG
상담사명,만리동1가,NNG
상담사명,만리동2가,NNG
상담사명,필동1가,NNG
상담사명,필동2가,NNG
상담사명,필동3가,NNG
상담사명,남학동,NNG
상담사명,주자동,NNG
상담사명,충무로3가,NNG
상담사명,황학동,NNG
상담사명,남창동,NNG
상담사명,남대문로5가,NNG
상담사명,봉래동2가,NNG
상담사명,망우동,NNG
상담사명,면목동,NNG
상담사명,묵동,NNG
상담사명,상봉동,NNG
상담사명,신내동,NNG
상담사명,중화동,NNG
상담사명,개포1동,NNG
상담사명,개포2동,NNG
상담사명,개포4동,NNG
상담사명,논현1동,NNG
상담사명,논현2동,NNG
상담사명,대치1동,NNG
상담사명,대치2동,NNG
상담사명,대치4동,NNG
상담사명,도곡1동,NNG
상담사명,도곡2동,NNG
상담사명,삼성1동,NNG
상담사명,삼성2동,NNG
상담사명,역삼1동,NNG
상담사명,역삼2동,NNG
상담사명,일원1동,NNG
상담사명,일원2동,NNG
상담사명,일원본동,NNG
상담사명,고덕제1동,NNG
상담사명,고덕제2동,NNG
상담사명,둔촌제1동,NNG
상담사명,둔촌제2동,NNG
상담사명,명일제1동,NNG
상담사명,명일제2동,NNG
상담사명,성내제1동,NNG
상담사명,성내제2동,NNG
상담사명,성내제3동,NNG
상담사명,암사제1동,NNG
상담사명,암사제2동,NNG
상담사명,암사제3동,NNG
상담사명,천호제1동,NNG
상담사명,천호제2동,NNG
상담사명,천호제3동,NNG
상담사명,번제1동,NNG
상담사명,번제2동,NNG
상담사명,번제3동,NNG
상담사명,삼각산동,NNG
상담사명,삼양동,NNG
상담사명,송중동,NNG
상담사명,송천동,NNG
상담사명,수유제1동,NNG
상담사명,수유제2동,NNG
상담사명,수유제3동,NNG
상담사명,인수동,NNG
상담사명,가양제1동,NNG
상담사명,가양제2동,NNG
상담사명,가양제3동,NNG
상담사명,등촌제1동,NNG
상담사명,등촌제2동,NNG
상담사명,등촌제3동,NNG
상담사명,발산제1동,NNG
상담사명,방화제1동,NNG
상담사명,방화제2동,NNG
상담사명,방화제3동,NNG
상담사명,우장산동,NNG
상담사명,화곡본동,NNG
상담사명,화곡제1동,NNG
상담사명,화곡제2동,NNG
상담사명,화곡제3동,NNG
